A&M Records,65
A389 Recordings,59
Adipocere Records,108
AFM Records,345
Aftermath Music,62
Agonia Records,157
American Line Productions,131
Amphetamine Reptile Records,67
Amputated Vein Records,57
Atlantic Records,203
Australis Records,54
Avantgarde Music,121
Avispa Records,105
Azermedoth Records,65
BadMoodMan Music,64
Baron Records,57
Bestial Burst,65
Bizarre Leprous Production,133
Black Lodge Records,63
Black Lotus Records,100
Black Mark Production,152
Black Widow Records,52
Black-listed Productions,62
Blackend,61
Blackmetal.com Records,58
Blood Harvest,64
Bloodbath Records,65
Bosque Produções,89
Brennus Music,174
Candlelight Records,276
Capitol Records,108
Casket Music,115
Castle Communications,88
CBS,123
CCP Records,110
CD-Maximum,205
Century Media,821
Chanteloup Creations,56
Chapa Discos,93
Christhunt Productions,125
Code666 Records,87
Cogumelo Records,144
Columbia Records,108
Comatose Music,71
Combat Records,92
Coyote Records,145
Cruz Del Sur Music,62
Cvlminis,118
Cyclone Empire,94
D&S Recording,60
Dark Descent Records,78
Darker than Black Records,98
Deadsun Records,59
Deathgasm Records,62
Deathmutt Records,53
Deathrash Armageddon,56
Deathstrike Records,75
Debemur Morti Productions,87
Deepsend Records,54
Depressive Illusions Records,685
Discipline Productions,56
Discos y Cintas Denver,140
Displeased Records,93
Doomentia Records,102
Drakkar Entertainment GMBH,74
Drakkar Productions,148
E.E.E. Recordings,155
Earache,336
earMUSIC,52
Eastside,92
Eastworld,64
Elektra Records,144
EMI Music,279
EMI Records,102
Empire Records,73
Enigma Records,54
Epic Records,189
Firebox Records,69
Folter Records,67
Forgotten Wisdom Productions,58
Frontiers Records,168
Galy Records,73
Glossolalia Records,75
GUN Records,107
H.M.S.S. Records,119
Hammer of Damnation,65
Hammer of Hate Records,63
Hammer Records,128
Hammerheart Records,141
Head Not Found,53
Hecatombe Records,54
Heidens Hart Records,69
Hellion Records,115
Hells Headbangers Records,208
HG Fact,53
High Roller Records,147
Holy Records,116
Horror Pain Gore Death Productions,88
Hydra Head Records,94
I Hate,81
Indie Recordings,98
Infernal Kommando Records,68
InsideOut Music,181
Intense Records,54
Inverse Records,82
Iron Bonehead Productions,156
Iron Pegasus Records,58
Irond Records,85
Ketzer Records,57
Kill Again Records,63
King Records,78
Last Episode,63
Le Crépuscule du Soir Productions,58
Legion Blotan Records & Distribution,63
Legion of Death Records,55
Leviathan Records,99
Lifeforce Records,83
Limb Music GmbH,130
Lion Music,209
Listenable Records,149
Locomotive Records,132
